"Arrival no","Arrival time (sec)","Base station ","Call duration (sec)","velocity (km/h)"
"1.0","0.0","18.0","76.1336106486002","125.93425356675456"
"2.0","0.06774369150401169","7.0","159.0562435627343","95.51088070690083"
"3.0","0.5591843380651278","6.0","179.4650533214723","127.75745648779125"
"4.0","0.625318862115474","14.0","163.10831965808327","134.31055226791656"
"5.0","1.3450660183799872","2.0","95.05447222099573","112.27235926250196"
"6.0","1.588019826020712","4.0","12.986618892394572","121.18592013198779"
"7.0","2.7289085187094866","11.0","29.65691384500153","109.45805371612599"
"8.0","2.9784137884229516","4.0","109.60162635871927","139.4540510708208"
"9.0","3.897774711124241","18.0","362.2116032883656","117.24363326046011"
"10.0","9.230019264123934","5.0","175.0965210008266","129.63763675862526"
"11.0","10.600426034216325","17.0","149.80091485780798","130.6503591828217"
"12.0","10.75017679422879","12.0","66.70574679914975","123.32066569782947"
"13.0","11.935463756370764","8.0","93.67159776637047","112.93839471393606"
"14.0","14.192586887184007","5.0","59.25584793539348","103.51743092602315"
"15.0","15.864449545614976","13.0","312.6527255248049","117.06809987591483"
"16.0","16.73187199775039","20.0","31.355938667177913","119.63329988788419"
"17.0","16.863597816035245","8.0","77.59823560421844","111.67260841814017"
"18.0","17.76527846332908","3.0","125.43159096274158","118.75446053825594"
"19.0","19.419984628570674","20.0","19.101878591718137","115.89611756400159"
"20.0","24.136622852507642","5.0","62.6402124813631","125.76961742985446"
"21.0","24.605816316296696","13.0","65.31568926933016","110.85268822558896"
"22.0","24.97421084485899","12.0","812.5718631492335","95.31989199054331"
"23.0","28.925904761017357","15.0","193.75350548562986","128.99015773023743"
"24.0","29.579478435857094","13.0","139.12388962853623","107.17279860817533"
"25.0","31.438457314802438","6.0","40.39235247388069","108.41552775371504"
"26.0","33.0682193778494","20.0","77.04404922979263","119.83873972896964"
"27.0","33.976843442000146","1.0","173.53149982761278","113.48224395635104"
"28.0","35.230281314627845","12.0","24.206001331910308","108.43232037392414"
"29.0","35.38888750024588","4.0","55.559150466062505","124.21577718392547"
"30.0","36.16693334704923","15.0","102.82851628301573","110.79483151234766"
"31.0","36.95941217188244","17.0","20.81085155117543","109.78354737709824"
"32.0","38.262121559195805","4.0","179.56844226227219","126.38532986592352"
"33.0","38.77859228787058","7.0","393.66140179547665","113.37355993416371"
"34.0","39.56753651373387","3.0","249.85379566587403","127.19847193809383"
"35.0","41.065277747526615","10.0","75.07464178559944","122.36618382629372"
"36.0","41.79259131525645","13.0","119.58783553666835","118.71097454111182"
"37.0","43.60606946134501","4.0","93.4570942903607","125.85619642035272"
"38.0","47.85603092931125","14.0","135.63860283533057","118.17416349046323"
"39.0","48.10341314490753","2.0","52.514660367383684","123.75811924326011"
"40.0","51.29317335600156","16.0","175.74839121647423","123.37243428797103"
"41.0","51.73725888158172","14.0","284.8053468048057","116.62925981128875"
"42.0","52.885503842486514","5.0","141.7303279125144","137.46893397069402"
"43.0","52.88944219738307","3.0","29.134154048675295","117.98826599885157"
"44.0","53.69535409578617","16.0","119.2843618310656","127.93692924331641"
"45.0","54.76521891373137","5.0","13.56017434892226","135.66865793999585"
"46.0","55.98351301723423","7.0","131.85767104708384","116.27210951951446"
"47.0","58.15865101911869","2.0","106.42228855335767","119.14849064062389"
"48.0","60.18233416897561","6.0","57.20984259694756","119.58459059641551"
"49.0","61.804427212854165","10.0","105.38473175071955","136.70374046707346"
"50.0","61.99970302909248","3.0","178.0144589370193","124.01089791325688"
"51.0","63.93097293483599","3.0","159.25685108587126","101.34706144449332"
"52.0","63.97414176487695","4.0","19.217427285616633","129.55764221002818"
"53.0","65.64490627069264","6.0","11.419758694197636","123.54620726394536"
"54.0","67.02237637054868","4.0","322.32021655341714","115.94320037869163"
"55.0","68.49926026249511","3.0","124.46770125819883","122.10791185221387"
"56.0","68.99712530996837","14.0","75.40628459211608","125.29884847972929"
"57.0","69.6793761411173","6.0","119.70272868018016","121.30110677596507"
"58.0","70.06527904708511","17.0","42.35272471709308","105.28192928840005"
"59.0","70.37945421461603","20.0","216.00400901746326","123.7915007195166"
"60.0","72.52827606440246","17.0","18.79746999908864","115.78253778077631"
"61.0","72.68589802051883","10.0","138.81547485862419","134.89855901063856"
"62.0","72.83393227541228","20.0","89.27214038695827","110.83975865608879"
"63.0","72.92191381289835","3.0","48.2762582394371","122.38524174612274"
"64.0","74.73545492675535","18.0","185.20310007954075","112.17493045830574"
"65.0","75.77201751124144","20.0","215.57063199658825","105.13544877376202"
"66.0","77.69369475609078","4.0","95.15684185527688","121.32900822995666"
"67.0","79.11644398335677","19.0","257.19186602808827","112.77984928425117"
"68.0","80.01357871302694","11.0","32.57286462274178","104.58493024038586"
"69.0","81.36535844553498","4.0","502.0507100407753","130.98011600218757"
"70.0","81.6375270290315","13.0","50.82349143787503","128.76614692101828"
"71.0","83.25769041102504","5.0","11.199949087058668","112.87552437875479"
"72.0","83.83288778794167","14.0","127.43684348528774","133.40343674766572"
"73.0","84.44164907060384","14.0","63.542966786028344","112.26064551960258"
"74.0","85.49810606675786","11.0","16.50773530796723","107.01060731238027"
"75.0","85.9621208250541","19.0","10.655289609256611","119.65151601811867"
"76.0","91.50740488100567","18.0","23.863126551096094","120.46026990522817"
"77.0","92.53916026787756","11.0","23.8550259221549","126.05815490309813"
"78.0","92.55423458896784","2.0","175.6118885622464","117.33521069873542"
"79.0","92.5862264958937","14.0","36.77827921813192","131.10648395402765"
"80.0","93.56251727126339","10.0","96.06823483583749","130.48050208809929"
"81.0","98.04023963065193","2.0","76.23874247688673","131.53774941995016"
"82.0","100.85746968813423","7.0","62.483110266470256","117.76926653219475"
"83.0","100.95175306261581","19.0","45.59503568831309","125.23353566590306"
"84.0","106.61461250642519","8.0","399.47640035256853","119.1424531879874"
"85.0","110.52965983344205","5.0","229.0954643384643","127.71541426231624"
"86.0","111.48018065306582","15.0","33.0195310297852","112.5836609123519"
"87.0","112.84635568430147","15.0","220.12757363947836","130.2424992767897"
"88.0","116.03534996859277","5.0","114.98163177492634","98.04788994260332"
"89.0","116.9916789268143","14.0","24.482477288092547","126.09807713738451"
"90.0","119.05116951626756","12.0","145.58724762234436","116.6448450497184"
"91.0","121.34970838077498","15.0","137.34211739000824","133.19129473790568"
"92.0","122.21119752646982","13.0","157.72874240609585","130.61799824907808"
"93.0","122.34238167902132","17.0","20.94673419281888","132.51634755013362"
"94.0","123.10284531910686","15.0","113.82832406499513","110.49501136718786"
"95.0","125.32138161334186","1.0","21.8185705165043","119.4792729347124"
"96.0","125.49412764820062","1.0","389.90212801416715","113.82134725673201"
"97.0","127.24880364707127","14.0","158.41435240672445","125.88390329586461"
"98.0","129.92120325747752","10.0","225.3302878545722","130.3141430073402"
"99.0","129.9554685750336","2.0","43.22784317626541","112.24725265083956"
"100.0","131.79887480674864","10.0","109.86059882386444","110.47932568750956"
"101.0","134.5199098183878","4.0","37.08627681411792","117.03887418959808"
"102.0","134.73591055346373","3.0","118.85086226847453","121.70914843510579"
"103.0","137.66664497410116","2.0","43.50151457781115","133.44005993270787"
"104.0","137.7701454675681","19.0","184.86428231859446","116.4475113229579"
"105.0","138.5828893052784","15.0","119.56546653843483","127.2806940371784"
"106.0","141.002816766084","4.0","46.79544634846661","133.4055087829153"
"107.0","141.6831860459333","19.0","18.60856668624473","105.55959714932551"
"108.0","143.1797436156381","13.0","356.0338197512469","112.75109842002455"
"109.0","144.61294839597477","6.0","13.165591914151156","111.34293521612804"
"110.0","145.829439854316","12.0","116.63941189085266","103.75431208520808"
"111.0","146.1547052384422","14.0","53.71460037429171","105.4402024130708"
"112.0","147.68414242266044","5.0","156.5860713990544","130.72162260487198"
"113.0","147.85685669694232","7.0","261.20442420008357","102.65119403036749"
"114.0","148.94421746285084","8.0","126.20231913318304","112.26779942722303"
"115.0","159.79262472626598","17.0","96.07731386253118","115.67166434170721"
"116.0","160.2226999118461","2.0","101.35365211446091","117.74065487998107"
"117.0","161.41164075641706","20.0","210.35264782550485","113.72619486636236"
"118.0","168.83857465973296","17.0","36.17101507700029","114.20774698197654"
"119.0","168.88593849978747","4.0","85.51274452027988","122.95885141468932"
"120.0","169.44973056659694","3.0","109.2515665151048","127.72184091188284"
"121.0","169.60205710636114","18.0","195.76875393673006","109.78154356169578"
"122.0","171.83434908065803","16.0","95.33377677509004","118.50984458734808"
"123.0","172.65134761175798","12.0","29.481502333386892","123.5589658978147"
"124.0","173.12956658255553","6.0","307.24667000015137","112.33761673970965"
"125.0","174.15414098704895","20.0","836.6103914654989","114.96379695795137"
"126.0","174.59690367686287","8.0","58.09474934077292","122.28416105455841"
"127.0","175.30157805116625","7.0","26.678701152227095","112.17281925415767"
"128.0","175.3181735601665","12.0","39.18169374519391","108.95896684650947"
"129.0","175.4588188766442","13.0","67.7813233708327","108.84400199330375"
"130.0","176.36465920578686","15.0","22.531264314847974","120.59889479141783"
